NAME,TYPE,VALUE,DATE
寶特瓶,2004,371,2004-01-01
寶特瓶,2005,293,2005-01-01
寶特瓶,2006,106,2006-01-01
寶特瓶,2008,0,2008-01-01
寶特瓶,2009,0,2009-01-01
寶特瓶,2010,0,2010-01-01
寶特瓶,2011,3462,2011-01-01
寶特瓶,2012,1472,2012-01-01
寶特瓶,2013,2174,2013-01-01
寶特瓶,2014,2458,2014-01-01
寶特瓶,2015,9847,2015-01-01
寶特瓶,2016,44389,2016-01-01
寶特瓶,2017,76645,2017-01-01
寶特瓶,2018,54461,2018-01-01
塑膠瓶蓋,2004,1716,2004-01-01
塑膠瓶蓋,2005,3209,2005-01-01
塑膠瓶蓋,2006,4167,2006-01-01
塑膠瓶蓋,2008,3215,2008-01-01
塑膠瓶蓋,2009,463,2009-01-01
塑膠瓶蓋,2010,4760,2010-01-01
塑膠瓶蓋,2011,14632,2011-01-01
塑膠瓶蓋,2012,5335,2012-01-01
塑膠瓶蓋,2013,10045,2013-01-01
塑膠瓶蓋,2014,7629,2014-01-01
塑膠瓶蓋,2015,20449,2015-01-01
塑膠瓶蓋,2016,43067,2016-01-01
塑膠瓶蓋,2017,52068,2017-01-01
塑膠瓶蓋,2018,49133,2018-01-01
其他飲料瓶與食物容器,2004,808,2004-01-01
其他飲料瓶與食物容器,2005,2627,2005-01-01
其他飲料瓶與食物容器,2006,1330,2006-01-01
其他飲料瓶與食物容器,2008,3248,2008-01-01
其他飲料瓶與食物容器,2009,389,2009-01-01
其他飲料瓶與食物容器,2010,4113,2010-01-01
其他飲料瓶與食物容器,2011,11185,2011-01-01
其他飲料瓶與食物容器,2012,5444,2012-01-01
其他飲料瓶與食物容器,2013,5989,2013-01-01
其他飲料瓶與食物容器,2014,4584,2014-01-01
其他飲料瓶與食物容器,2015,6117,2015-01-01
其他飲料瓶與食物容器,2016,15681,2016-01-01
其他飲料瓶與食物容器,2017,13007,2017-01-01
其他飲料瓶與食物容器,2018,9902,2018-01-01
非食物的瓶罐與容器,2004,117,2004-01-01
非食物的瓶罐與容器,2005,257,2005-01-01
非食物的瓶罐與容器,2006,102,2006-01-01
非食物的瓶罐與容器,2008,92,2008-01-01
非食物的瓶罐與容器,2009,4,2009-01-01
非食物的瓶罐與容器,2010,73,2010-01-01
非食物的瓶罐與容器,2011,1224,2011-01-01
非食物的瓶罐與容器,2012,591,2012-01-01
非食物的瓶罐與容器,2013,1063,2013-01-01
非食物的瓶罐與容器,2014,708,2014-01-01
非食物的瓶罐與容器,2015,3359,2015-01-01
非食物的瓶罐與容器,2016,10084,2016-01-01
非食物的瓶罐與容器,2017,11582,2017-01-01
非食物的瓶罐與容器,2018,8381,2018-01-01
塑膠提袋,2004,422,2004-01-01
塑膠提袋,2005,2038,2005-01-01
塑膠提袋,2006,1990,2006-01-01
塑膠提袋,2008,7838,2008-01-01
塑膠提袋,2009,593,2009-01-01
塑膠提袋,2010,10552,2010-01-01
塑膠提袋,2011,27772,2011-01-01
塑膠提袋,2012,11655,2012-01-01
塑膠提袋,2013,25132,2013-01-01
塑膠提袋,2014,16195,2014-01-01
塑膠提袋,2015,13963,2015-01-01
塑膠提袋,2016,34290,2016-01-01
塑膠提袋,2017,30886,2017-01-01
塑膠提袋,2018,17681,2018-01-01
食品包裝袋,2004,0,2004-01-01
食品包裝袋,2005,0,2005-01-01
食品包裝袋,2006,0,2006-01-01
食品包裝袋,2008,0,2008-01-01
食品包裝袋,2009,0,2009-01-01
食品包裝袋,2010,0,2010-01-01
食品包裝袋,2011,0,2011-01-01
食品包裝袋,2012,0,2012-01-01
食品包裝袋,2013,0,2013-01-01
食品包裝袋,2014,0,2014-01-01
食品包裝袋,2015,3562,2015-01-01
食品包裝袋,2016,14663,2016-01-01
食品包裝袋,2017,10537,2017-01-01
食品包裝袋,2018,10632,2018-01-01
吸管,2004,1106,2004-01-01
吸管,2005,3276,2005-01-01
吸管,2006,1880,2006-01-01
吸管,2008,2378,2008-01-01
吸管,2009,4.36,2009-01-01
吸管,2010,1807,2010-01-01
吸管,2011,11912,2011-01-01
吸管,2012,4699,2012-01-01
吸管,2013,8882,2013-01-01
吸管,2014,8016,2014-01-01
吸管,2015,12568,2015-01-01
吸管,2016,33766,2016-01-01
吸管,2017,34284,2017-01-01
吸管,2018,39465,2018-01-01
外帶飲料杯,2004,0,2004-01-01
外帶飲料杯,2005,0,2005-01-01
外帶飲料杯,2006,0,2006-01-01
外帶飲料杯,2008,0,2008-01-01
外帶飲料杯,2009,0,2009-01-01
外帶飲料杯,2010,0,2010-01-01
外帶飲料杯,2011,4858,2011-01-01
外帶飲料杯,2012,2323,2012-01-01
外帶飲料杯,2013,4520,2013-01-01
外帶飲料杯,2014,2784,2014-01-01
外帶飲料杯,2015,7199,2015-01-01
外帶飲料杯,2016,24415,2016-01-01
外帶飲料杯,2017,20132,2017-01-01
外帶飲料杯,2018,17911,2018-01-01
免洗餐具,2004,527,2004-01-01
免洗餐具,2005,1913,2005-01-01
免洗餐具,2006,1404,2006-01-01
免洗餐具,2008,1175,2008-01-01
免洗餐具,2009,34,2009-01-01
免洗餐具,2010,1754,2010-01-01
免洗餐具,2011,24258,2011-01-01
免洗餐具,2012,19632,2012-01-01
免洗餐具,2013,12319,2013-01-01
免洗餐具,2014,5599,2014-01-01
免洗餐具,2015,10002,2015-01-01
免洗餐具,2016,30772,2016-01-01
免洗餐具,2017,22254,2017-01-01
免洗餐具,2018,17912,2018-01-01
鐵鋁罐,2004,23,2004-01-01
鐵鋁罐,2005,567,2005-01-01
鐵鋁罐,2006,305,2006-01-01
鐵鋁罐,2008,932,2008-01-01
鐵鋁罐,2009,280,2009-01-01
鐵鋁罐,2010,1295,2010-01-01
鐵鋁罐,2011,1668,2011-01-01
鐵鋁罐,2012,555,2012-01-01
鐵鋁罐,2013,714,2013-01-01
鐵鋁罐,2014,640,2014-01-01
鐵鋁罐,2015,1824,2015-01-01
鐵鋁罐,2016,5822,2016-01-01
鐵鋁罐,2017,7745,2017-01-01
鐵鋁罐,2018,4547,2018-01-01
鋁箔包或利樂包,2004,48,2004-01-01
鋁箔包或利樂包,2005,488,2005-01-01
鋁箔包或利樂包,2006,48,2006-01-01
鋁箔包或利樂包,2008,0,2008-01-01
鋁箔包或利樂包,2009,0,2009-01-01
鋁箔包或利樂包,2010,114,2010-01-01
鋁箔包或利樂包,2011,2306,2011-01-01
鋁箔包或利樂包,2012,836,2012-01-01
鋁箔包或利樂包,2013,864,2013-01-01
鋁箔包或利樂包,2014,915,2014-01-01
鋁箔包或利樂包,2015,1745,2015-01-01
鋁箔包或利樂包,2016,5734,2016-01-01
鋁箔包或利樂包,2017,5820,2017-01-01
鋁箔包或利樂包,2018,4063,2018-01-01
玻璃瓶,2004,538,2004-01-01
玻璃瓶,2005,1295,2005-01-01
玻璃瓶,2006,1205,2006-01-01
玻璃瓶,2008,2453,2008-01-01
玻璃瓶,2009,685,2009-01-01
玻璃瓶,2010,8019,2010-01-01
玻璃瓶,2011,9257,2011-01-01
玻璃瓶,2012,6803,2012-01-01
玻璃瓶,2013,7846,2013-01-01
玻璃瓶,2014,7228,2014-01-01
玻璃瓶,2015,9405,2015-01-01
玻璃瓶,2016,21385,2016-01-01
玻璃瓶,2017,26779,2017-01-01
玻璃瓶,2018,19972,2018-01-01
釣魚用具,2004,92,2004-01-01
釣魚用具,2005,902,2005-01-01
釣魚用具,2006,137,2006-01-01
釣魚用具,2008,776,2008-01-01
釣魚用具,2009,73,2009-01-01
釣魚用具,2010,974,2010-01-01
釣魚用具,2011,3974,2011-01-01
釣魚用具,2012,1190,2012-01-01
釣魚用具,2013,2019,2013-01-01
釣魚用具,2014,1158,2014-01-01
釣魚用具,2015,2475,2015-01-01
釣魚用具,2016,8346,2016-01-01
釣魚用具,2017,9903,2017-01-01
釣魚用具,2018,8387,2018-01-01
漁業浮球、浮筒、漁船防碰墊,2004,104,2004-01-01
漁業浮球、浮筒、漁船防碰墊,2005,425,2005-01-01
漁業浮球、浮筒、漁船防碰墊,2006,230,2006-01-01
漁業浮球、浮筒、漁船防碰墊,2008,1311,2008-01-01
